Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
110,1661265472472745323,1661265472451193748,4014.2000000000003,"[-0.4339963495731354, 0.15311625599861145, 0.8802480101585388, 0.11561166495084763]","[150.57870483398438, 46.77290344238281, 147.3094940185547]"
111,1661265472488452002,1661265472451193748,4014.21,"[-0.4290548861026764, 0.15869638323783875, 0.8808331489562988, 0.12190292775630951]","[149.76455688476562, 45.82052993774414, 146.546630859375]"
112,1661265472492547383,1661265472451193748,4014.2200000000003,"[-0.42431649565696716, 0.1639663428068161, 0.8812920451164246, 0.1280430555343628]","[148.99729919433594, 44.902618408203125, 145.84515380859375]"
113,1661265472507772186,1661265472451193748,4014.23,"[-0.4199036955833435, 0.16885875165462494, 0.8815858364105225, 0.13406755030155182]","[148.26092529296875, 44.03401184082031, 145.19842529296875]"
114,1661265472514125738,1661265472451193748,4014.2400000000002,"[-0.41587233543395996, 0.17333196103572845, 0.8817209601402283, 0.1399090588092804]","[147.55821228027344, 43.225006103515625, 144.6072540283203]"
115,1661265472522856151,1661265472451193748,4014.25,"[-0.41218504309654236, 0.17738208174705505, 0.8817339539527893, 0.14554840326309204]","[146.8912353515625, 42.47276306152344, 144.0725555419922]"
116,1661265472536534061,1661265472451193748,4014.26,"[-0.40869084000587463, 0.18107536435127258, 0.8817242383956909, 0.15081770718097687]","[146.28868103027344, 41.76572799682617, 143.6022186279297]"
117,1661265472545198110,1661265472451193748,4014.27,"[-0.40542176365852356, 0.18447932600975037, 0.8816847205162048, 0.15566907823085785]","[145.7477264404297, 41.1074104309082, 143.18316650390625]"
118,1661265472556710420,1661265472451193748,4014.28,"[-0.4023585915565491, 0.18765127658843994, 0.8816200494766235, 0.16012702882289886]","[145.26133728027344, 40.49326705932617, 142.8052520751953]"
119,1661265472562855264,1661265472559337592,4014.29,"[-0.3995436728000641, 0.19061022996902466, 0.8814926743507385, 0.1643267422914505]","[144.80516052246094, 39.922054290771484, 142.45437622070312]"
120,1661265472576512371,1661265472559337592,4014.3,"[-0.3969777822494507, 0.19332261383533478, 0.8812752962112427, 0.16849012672901154]","[144.3499755859375, 39.38642883300781, 142.1240997314453]"
121,1661265472582761131,1661265472559337592,4014.31,"[-0.3946387469768524, 0.19588857889175415, 0.8809441924095154, 0.17270000278949738]","[143.88162231445312, 38.876914978027344, 141.79872131347656]"
122,1661265472596536661,1661265472559337592,4014.32,"[-0.39231380820274353, 0.19832001626491547, 0.8805615901947021, 0.17711737751960754]","[143.39585876464844, 38.364418029785156, 141.4872589111328]"
123,1661265472607439106,1661265472559337592,4014.33,"[-0.38981664180755615, 0.20070303976535797, 0.8802075386047363, 0.18164856731891632]","[142.9164581298828, 37.83024978637695, 141.1973419189453]"
124,1661265472612735154,1661265472559337592,4014.34,"[-0.38702014088630676, 0.20315399765968323, 0.8799408674240112, 0.1861395537853241]","[142.46881103515625, 37.263362884521484, 140.9300079345703]"
125,1661265472626518327,1661265472559337592,4014.35,"[-0.38417577743530273, 0.20574022829532623, 0.8796354532241821, 0.19058223068714142]","[142.03053283691406, 36.68736267089844, 140.6562042236328]"
126,1661265472632728054,1661265472559337592,4014.36,"[-0.38127678632736206, 0.20846956968307495, 0.8793069124221802, 0.1949051469564438]","[141.611083984375, 36.104148864746094, 140.37808227539062]"
127,1661265472646549819,1661265472559337592,4014.37,"[-0.37818965315818787, 0.21130652725696564, 0.8790023326873779, 0.1991911679506302]","[141.2119140625, 35.498268127441406, 140.10765075683594]"
128,1661265472655257636,1661265472559337592,4014.38,"[-0.3749963343143463, 0.21423962712287903, 0.8786813616752625, 0.2034657746553421]","[140.823486328125, 34.87748718261719, 139.8387451171875]"
129,1661265472663626826,1661265472559337592,4014.39,"[-0.3717842102050781, 0.21725913882255554, 0.8783169984817505, 0.2076878696680069]","[140.44427490234375, 34.252750396728516, 139.56692504882812]"
130,1661265472679078783,1661265472666147681,4014.4,"[-0.3686417043209076, 0.22040626406669617, 0.8778220415115356, 0.2120208591222763]","[140.0454864501953, 33.624122619628906, 139.27459716796875]"
